iteration,seed,time_ms,algorithmEI,algorithmSearch,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi,totalTrucks,totalGasStations
1,1,549016,GreedyCuadrantes,HillClimbing,true,true,true,false,336,true,true,Basica,-215104.0,-284878.0,32676.0,10572.0,247780.0,295450.0,253,300,30,30,16338,5286,30,300
1,1,1087,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-215104.0,-277224.0,32676.0,14696.0,247780.0,291920.0,253,297,30,30,16338,7348,30,300
2,91011,576928,GreedyCuadrantes,HillClimbing,true,true,true,false,370,true,true,Basica,-192020.0,-285490.0,35500.0,9900.0,227520.0,295390.0,232,300,30,30,17750,4950,30,300
2,91011,1037,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-192020.0,-278656.0,35500.0,14344.0,227520.0,293000.0,232,298,30,30,17750,7172,30,300
3,121314,496157,GreedyCuadrantes,HillClimbing,true,true,true,false,315,true,true,Basica,-206806.0,-284918.0,34064.0,10232.0,240870.0,295150.0,246,300,30,30,17032,5116,30,300
3,121314,1052,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-206806.0,-279804.0,34064.0,13896.0,240870.0,293700.0,246,299,30,30,17032,6948,30,300
4,151617,456755,GreedyCuadrantes,HillClimbing,true,true,true,false,313,true,true,Basica,-211128.0,-284984.0,34772.0,10096.0,245900.0,295080.0,251,300,30,30,17386,5048,30,300
4,151617,882,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-211128.0,-279122.0,34772.0,13428.0,245900.0,292550.0,251,298,30,30,17386,6714,30,300
5,181920,458891,GreedyCuadrantes,HillClimbing,true,true,true,false,291,true,true,Basica,-220642.0,-285152.0,31828.0,9088.0,252470.0,294240.0,258,300,30,30,15914,4544,30,300
5,181920,1031,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-220642.0,-280224.0,31828.0,13076.0,252470.0,293300.0,258,299,30,30,15914,6538,30,300
6,2134565223,551405,GreedyCuadrantes,HillClimbing,true,true,true,false,349,true,true,Basica,-199628.0,-284150.0,35472.0,11520.0,235100.0,295670.0,240,300,30,30,17736,5760,30,300
6,2134565223,924,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-199628.0,-277636.0,35472.0,16344.0,235100.0,293980.0,240,299,30,30,17736,8172,30,300
7,242526,444375,GreedyCuadrantes,HillClimbing,true,true,true,false,308,true,true,Basica,-198338.0,-284944.0,36592.0,9476.0,234930.0,294420.0,240,300,30,30,18296,4738,30,300
7,242526,970,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-198338.0,-279286.0,36592.0,14104.0,234930.0,293390.0,240,299,30,30,18296,7052,30,300
8,669610,656283,GreedyCuadrantes,HillClimbing,true,true,true,false,389,true,true,Basica,-213382.0,-285206.0,34568.0,10024.0,247950.0,295230.0,253,300,30,30,17284,5012,30,300
8,669610,1019,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-213382.0,-278646.0,34568.0,14384.0,247950.0,293030.0,253,298,30,30,17284,7192,30,300
9,303132,466214,GreedyCuadrantes,HillClimbing,true,true,true,false,300,true,true,Basica,-210124.0,-284860.0,32476.0,9580.0,242600.0,294440.0,248,300,30,30,16238,4790,30,300
9,303132,997,GreedyCuadrantes,SimulatedAnnealing,true,true,true,false,20001,true,true,Basica,-210124.0,-278826.0,32476.0,14564.0,242600.0,293390.0,248,299,30,30,16238,7282,30,300
