iteration,seed,time_ms,algorithmEI,algorithmSearch,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi
0,1234,1717,Aleatorio,HilllClimbing,true,true,false,false,95,true,true,Basica,-60708.0,-92696.0,12692.0,5344.0,73400.0,98040.0,75,100,10,10,6346,2672
0,1234,2300,Aleatorio,HilllClimbing,true,true,false,false,100,true,true,Avanzada,-59488.0,-91860.0,12692.0,5320.0,73400.0,97900.0,75,100,10,10,6346,2660
0,1234,1912,Aleatorio,HilllClimbing,true,true,false,false,95,true,true,Basica,-60708.0,-92696.0,12692.0,5344.0,73400.0,98040.0,75,100,10,10,6346,2672
0,1234,2337,Aleatorio,HilllClimbing,true,true,false,false,100,true,true,Avanzada,-59488.0,-91860.0,12692.0,5320.0,73400.0,97900.0,75,100,10,10,6346,2660
0,1234,1903,Aleatorio,HilllClimbing,true,true,false,false,95,true,true,Basica,-60708.0,-92696.0,12692.0,5344.0,73400.0,98040.0,75,100,10,10,6346,2672
0,1234,2260,Aleatorio,HilllClimbing,true,true,false,false,100,true,true,Avanzada,-59488.0,-91860.0,12692.0,5320.0,73400.0,97900.0,75,100,10,10,6346,2660
0,1234,1721,Aleatorio,HilllClimbing,true,true,false,false,95,true,true,Basica,-60708.0,-92696.0,12692.0,5344.0,73400.0,98040.0,75,100,10,10,6346,2672
0,1234,2788,Aleatorio,HilllClimbing,true,true,true,true,95,true,true,Avanzada,-59488.0,-92212.0,12692.0,4968.0,73400.0,97860.0,75,100,10,10,6346,2484
0,1234,2276,Aleatorio,HilllClimbing,true,true,true,true,99,true,true,Basica,-60708.0,-93150.0,12692.0,5040.0,73400.0,98190.0,75,100,10,10,6346,2520
0,1234,2666,Aleatorio,HilllClimbing,true,true,true,true,95,true,true,Avanzada,-59488.0,-92212.0,12692.0,4968.0,73400.0,97860.0,75,100,10,10,6346,2484
