iteration,seed,time_ms,algorithmEI,algorithmSearch,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi,k,lambda
5,181920,178,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-90436.0,11048.0,6624.0,78100.0,97060.0,80,99,10,10,5524,3312,25,1.0E-4
5,181920,174,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-89486.0,11048.0,6504.0,78100.0,95990.0,80,98,10,10,5524,3252,25,0.01
5,181920,7,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-67052.0,-83486.0,11048.0,9304.0,78100.0,92790.0,80,95,10,10,5524,4652,25,1.0
5,181920,242,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-89352.0,11048.0,7608.0,78100.0,96960.0,80,99,10,10,5524,3804,125,1.0E-4
5,181920,177,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-67052.0,-87786.0,11048.0,6164.0,78100.0,93950.0,80,96,10,10,5524,3082,125,0.01
5,181920,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-67052.0,-84628.0,11048.0,9312.0,78100.0,93940.0,80,96,10,10,5524,4656,125,1.0
6,2134565223,168,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74640.0,-92864.0,10640.0,5496.0,85280.0,98360.0,87,100,10,10,5320,2748,1,1.0E-4
6,2134565223,169,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74640.0,-92906.0,10640.0,5544.0,85280.0,98450.0,87,100,10,10,5320,2772,1,0.01
6,2134565223,7,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-74640.0,-87958.0,10640.0,8032.0,85280.0,95990.0,87,98,10,10,5320,4016,1,1.0
6,2134565223,166,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74640.0,-92026.0,10640.0,5364.0,85280.0,97390.0,87,99,10,10,5320,2682,5,1.0E-4
6,2134565223,164,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74640.0,-92048.0,10640.0,5312.0,85280.0,97360.0,87,99,10,10,5320,2656,5,0.01
6,2134565223,7,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-74640.0,-88744.0,10640.0,8436.0,85280.0,97180.0,87,99,10,10,5320,4218,5,1.0
6,2134565223,167,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74640.0,-91098.0,10640.0,5252.0,85280.0,96350.0,87,98,10,10,5320,2626,25,1.0E-4
6,2134565223,164,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74640.0,-92056.0,10640.0,5344.0,85280.0,97400.0,87,99,10,10,5320,2672,25,0.01
6,2134565223,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-74640.0,-89078.0,10640.0,8052.0,85280.0,97130.0,87,99,10,10,5320,4026,25,1.0
6,2134565223,202,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74640.0,-90676.0,10640.0,6524.0,85280.0,97200.0,87,99,10,10,5320,3262,125,1.0E-4
6,2134565223,167,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-74640.0,-91274.0,10640.0,5156.0,85280.0,96430.0,87,98,10,10,5320,2578,125,0.01
6,2134565223,7,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-74640.0,-88586.0,10640.0,8564.0,85280.0,97150.0,87,99,10,10,5320,4282,125,1.0
7,242526,171,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72508.0,-91976.0,10752.0,5324.0,83260.0,97300.0,85,99,10,10,5376,2662,1,1.0E-4
7,242526,173,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72508.0,-90912.0,10752.0,5468.0,83260.0,96380.0,85,98,10,10,5376,2734,1,0.01
7,242526,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-72508.0,-87790.0,10752.0,8220.0,83260.0,96010.0,85,98,10,10,5376,4110,1,1.0
7,242526,172,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72508.0,-92828.0,10752.0,5432.0,83260.0,98260.0,85,100,10,10,5376,2716,5,1.0E-4
7,242526,174,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72508.0,-92804.0,10752.0,5596.0,83260.0,98400.0,85,100,10,10,5376,2798,5,0.01
7,242526,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-72508.0,-87454.0,10752.0,8696.0,83260.0,96150.0,85,98,10,10,5376,4348,5,1.0
7,242526,174,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72508.0,-91648.0,10752.0,5732.0,83260.0,97380.0,85,99,10,10,5376,2866,25,1.0E-4
